begin_date,begin_port_id,end_date,end_port_id,vessel
2019-01-07 07:59:00,142,2019-02-14 01:57:00,48,131
2019-02-15 01:59:00,48,2019-03-02 22:07:00,69,131
2019-03-04 11:46:00,69,2019-03-10 01:46:00,29,131
2019-03-11 06:37:00,29,2019-03-20 09:05:00,69,131
2019-03-21 21:54:00,69,2019-04-05 20:38:46,11,131
2019-04-06 22:21:51,11,2019-05-06 16:51:24,69,131
2019-05-08 02:48:51,69,2019-05-16 22:04:21,149,131
2019-05-18 20:44:20,149,2019-05-25 20:43:17,69,131
2019-05-27 08:49:00,69,2019-06-11 20:56:01,30,131
2019-06-13 01:31:12,30,2019-06-26 02:54:13,99,131
2019-06-27 05:43:32,99,2019-07-14 20:51:15,34,131
2019-07-15 23:54:02,34,2019-08-02 16:49:07,69,131
2019-08-04 02:49:33,69,2019-08-14 23:49:42,142,131
2019-08-16 01:23:22,142,2019-08-23 19:45:53,69,131
2019-08-25 05:37:18,69,2019-08-31 23:50:34,139,131
2019-09-01 23:51:36,139,2019-09-08 19:51:08,69,131
2019-09-10 07:16:10,69,2019-09-23 23:53:20,34,131
2019-09-24 23:54:11,34,2019-10-06 19:57:31,69,131
2019-10-08 05:44:53,69,2019-10-27 20:54:03,34,131
2019-10-28 23:44:20,34,2019-11-11 22:15:15,69,131
2019-11-13 04:43:56,69,2019-11-22 21:17:09,38,131
2019-11-23 21:45:59,38,2019-12-10 15:16:25,69,131
2019-12-12 05:22:53,69,2019-12-23 21:19:24,149,131
2019-01-08 16:37:00,56,2019-01-20 03:55:00,10,15
2019-01-21 16:52:00,10,2019-02-07 13:13:00,134,15
2019-02-08 10:51:00,134,2019-02-12 16:26:00,55,15
2019-02-21 04:36:00,55,2019-03-18 09:44:00,111,15
2019-03-20 00:50:00,111,2019-04-17 10:30:24,104,15
2019-04-19 01:19:33,104,2019-05-06 23:52:13,75,15
2019-05-08 02:56:54,75,2019-06-07 01:31:31,57,15
2019-06-08 07:12:27,57,2019-07-03 23:47:16,75,15
2019-07-05 05:52:02,75,2019-07-12 19:03:16,92,15
2019-07-13 23:14:49,92,2019-07-22 04:30:20,58,15
2019-07-23 04:31:02,58,2019-08-25 01:32:20,91,15
2019-08-26 05:45:58,91,2019-09-16 05:16:25,126,15
2019-09-17 20:55:20,126,2019-10-06 01:31:19,57,15
2019-10-07 08:48:41,57,2019-10-27 11:51:23,115,15
2019-10-28 11:56:28,115,2019-11-18 02:28:39,57,15
2019-11-19 06:44:07,57,2019-12-01 03:55:03,16,15
2019-12-02 05:30:23,16,2019-12-19 05:30:28,10,15
2019-01-02 01:50:00,99,2019-01-15 01:57:00,22,129
2019-01-16 01:59:00,22,2019-01-29 07:57:00,99,129
2019-03-03 05:17:00,99,2019-03-15 00:59:00,48,129
2019-03-18 09:55:00,48,2019-04-03 18:09:54,99,129
2019-04-04 19:11:21,99,2019-04-17 22:27:59,139,129
2019-04-18 22:16:15,139,2019-05-04 18:51:56,99,129
2019-05-06 00:15:47,99,2019-05-15 18:58:19,51,129
2019-05-16 23:46:49,51,2019-05-24 20:50:07,54,129
2019-06-25 11:50:00,54,2019-06-25 20:55:06,115,129
2019-06-27 13:30:55,115,2019-07-25 20:09:07,99,129
2019-07-26 23:53:12,99,2019-08-08 01:31:45,111,129
2019-08-08 23:52:01,111,2019-08-30 22:26:15,99,129
2019-08-31 23:50:15,99,2019-09-12 06:41:01,130,129
2019-09-12 20:47:48,130,2019-10-18 23:46:30,99,129
2019-10-19 23:55:43,99,2019-11-04 02:30:33,152,129
2019-11-05 00:58:09,152,2019-11-27 00:52:46,99,129
2019-11-28 02:30:25,99,2019-12-08 21:48:04,71,129
2019-12-09 21:45:49,71,2019-12-23 21:59:12,99,129
2019-01-08 04:59:00,154,2019-01-20 01:06:00,99,127
2019-01-21 04:53:00,99,2019-01-29 04:48:00,154,127
2019-01-30 04:55:00,154,2019-02-07 00:10:00,99,127
2019-02-08 01:40:00,99,2019-02-15 04:05:00,154,127
2019-02-16 03:59:00,154,2019-02-27 05:06:00,99,127
2019-02-28 07:46:00,99,2019-03-07 03:34:00,154,127
2019-03-08 04:59:00,154,2019-04-09 19:26:12,99,127
2019-04-10 22:19:29,99,2019-04-17 22:25:13,154,127
2019-04-19 00:52:06,154,2019-04-27 20:16:47,99,127
2019-04-28 23:56:53,99,2019-05-05 23:13:05,154,127
2019-05-06 23:47:19,154,2019-05-16 02:33:04,99,127
2019-05-17 08:44:02,99,2019-05-24 21:59:38,154,127
2019-05-25 23:51:21,154,2019-06-03 02:55:18,99,127
2019-06-04 02:54:00,99,2019-06-10 22:44:36,154,127
2019-06-11 23:46:07,154,2019-06-20 02:51:25,99,127
2019-06-21 02:55:53,99,2019-06-27 22:32:00,154,127
2019-06-28 23:50:26,154,2019-07-09 20:45:11,99,127
2019-07-11 01:28:53,99,2019-07-17 22:31:14,154,127
2019-07-18 23:36:21,154,2019-07-27 02:56:30,99,127
2019-07-28 11:49:12,99,2019-08-03 22:18:10,154,127
2019-08-04 23:52:50,154,2019-08-13 20:54:37,99,127
2019-08-14 20:47:04,99,2019-08-21 22:58:35,154,127
2019-08-22 23:44:44,154,2019-09-02 02:55:24,99,127
2019-09-03 04:30:39,99,2019-09-11 22:37:18,154,127
2019-09-13 01:16:04,154,2019-09-25 20:26:09,99,127
2019-09-26 23:00:27,99,2019-10-03 23:56:17,154,127
